city,cloudiness,humidity,lat,temp,wind Speed
Atar,0,20,20.52,84.44,6.53
Moron,75,69,10.49,82.4,2.73
Altay,0,74,47.83,39.44,3.18
Airai,0,74,-8.93,72.38,1.5
Tuatapere,0,84,-46.13,53.3,19.73
Esperance,20,74,10.24,84.2,12.75
Majene,0,99,-3.54,81.29,16.15
Vaini,92,98,15.34,67.43,6.42
Busselton,88,100,-33.64,53.39,8.21
Mount Isa,0,36,-20.73,60.8,6.93
Magadan,40,88,59.56,62.6,15.03
Ilinskiy,0,87,55.62,54.88,4.47
Margate,75,61,-43.03,48.2,13.87
Port Alfred,0,95,-33.59,59.96,7.54
La Rioja,0,62,-29.41,46.82,1.72
Half Moon Bay,20,60,37.46,76.01,17.22
Chokurdakh,92,94,70.62,44.03,8.43
Umm Lajj,0,100,25.02,78.5,4.07
Saskylakh,0,90,71.97,47.99,5.97
Samana,75,69,0.12,82.4,2.24
Srednekolymsk,92,77,67.46,40.25,5.97
Port Blair,92,100,11.67,79.49,23.09
Qaanaaq,0,92,77.48,37.19,7.76
Naze,20,78,5.43,78.8,2.24
Khatanga,20,76,71.98,52.4,13.47
Punta Arenas,75,75,-53.16,42.8,10.29
Havoysund,68,100,71.0,48.2,14.99
Mareeba,20,73,-16.99,71.6,10.29
Talnakh,56,91,69.49,51.5,3.4
Bambous Virieux,75,69,-20.34,73.4,14.99
Upernavik,92,97,72.79,39.35,22.08
Campamento,76,69,14.55,76.25,4.07
Bluff,44,71,-23.58,68.69,4.52
Rikitea,0,100,-23.12,72.83,13.8
Albany,75,46,42.65,75.96,11.41
Bredasdorp,76,81,-34.53,50.0,14.99
Bathsheba,20,69,13.22,82.4,18.34
San Quintin,90,94,17.54,77.0,6.93
Hermanus,92,99,-34.42,45.29,11.79
Avarua,20,74,-21.21,80.6,8.05
Mataura,0,76,-46.19,55.73,17.72
Inirida,36,95,3.87,74.63,0.6
Porto de Moz,48,95,-1.75,73.82,3.51
Ushuaia,75,80,-54.81,39.2,4.7
Birao,56,98,10.3,68.33,6.76
Dunedin,0,73,-45.87,53.93,2.95
